,Median,Mean,Std,Q1,Q3,IQR,No. of Obs,CI Lower,CI Upper
32 R2 Cal for conc,0.575,0.6261111111111111,0.19094621629228442,0.49,0.77,0.28,18,0.5,0.7350000000000001
33 pBIAS Cal for conc,1.985,-8.921666666666665,39.51151245734168,-18.45,10.2175,28.667499999999997,6,-51.55,22.8
34 RSR Cal for conc,0.7050000000000001,0.6483333333333333,0.15778677595624632,0.625,0.7475,0.12250000000000005,6,0.48,0.76
35 KGE Cal for conc,,,,,,,0,,
36 NSE Cal for load,0.5,-0.2996341463414634,2.3137594922128093,0.23,0.63,0.4,41,0.38,0.58
37 R2 Cal for load,0.5449999999999999,0.5526470588235295,0.2304351459874098,0.4125,0.75375,0.34125000000000005,34,0.425,0.6251249999999999
38 pBIAS Cal for load,6.225,-12.188125,50.90618819329304,-11.024999999999999,16.2325,27.2575,32,-7.2,12.305
39 RSR Cal for load,0.61,0.8625,0.9240555023528466,0.5225,0.6625,0.14,8,0.43,0.675
40 KGE Cal for load,0.515,0.4575,0.3696281915655244,0.22749999999999998,0.745,0.5175000000000001,4,0.01,0.79
41 NSE Cal for yield,0.497,-2.7030476190476187,10.001804224619626,0.02,0.75,0.73,21,0.07,0.74
42 R2 Cal for yield,0.79,0.79,0.028284271247461926,0.78,0.8,0.020000000000000018,2,0.77,0.81
43 pBIAS Cal for yield,7.95,-8.92416666666667,82.28995605433414,-13.33625,31.3375,44.67375,12,-13.4975,32.025
44 RSR Cal for yield,0.49,0.48175,0.11946094201313945,0.442,0.5297499999999999,0.08774999999999994,4,0.328,0.619
45 KGE Cal for yield,,,,,,,0,,
46 NSE Cal for conc,0.6799999999999999,0.6662499999999999,0.10837986737477544,0.565,0.7525,0.1875,24,0.60475,0.74
47 R2 Cal for conc,0.7,0.7139999999999999,0.07089898917944225,0.69,0.7625,0.07250000000000001,10,0.6799999999999999,0.77
48 pBIAS Cal for conc,-9.9,-9.581363636363637,16.954775783285132,-20.95,-0.125,20.825,22,-17.86,-3.3
49 RSR Cal for conc,0.565,0.5599999999999999,0.09757048734120377,0.4925,0.63,0.1375,6,0.44999999999999996,0.665
50 KGE Cal for conc,0.855,0.855,0.021213203435596444,0.8474999999999999,0.8625,0.015000000000000124,2,0.84,0.87
51 NSE Cal for load,0.665,0.5971176470588235,0.25153549839311284,0.5125,0.7575000000000001,0.2450000000000001,34,0.54,0.72
52 R2 Cal for load,0.765,0.72205,0.19749976015974777,0.62625,0.8625,0.23625000000000007,20,0.6645000000000001,0.855
53 pBIAS Cal for load,3.5,7.064782608695652,29.160813972547167,-5.395,22.810000000000002,28.205000000000002,23,-1.39,15.49
54 RSR Cal for load,0.628,0.628,0.04242640687119289,0.613,0.643,0.030000000000000027,2,0.598,0.658
55 KGE Cal for load,,,,,,,0,,
56 NSE Cal for yield,0.387,-3.3836666666521746,15.209424500834745,-0.045,0.6499999999999999,0.695,23,-0.04,0.6
57 R2 Cal for yield,0.655,0.5896969696818182,0.2772119489425157,0.47000000000000003,0.81,0.34,22,0.5,0.81
58 pBIAS Cal for yield,-1.18,-8.897777777777778,26.10277617769816,-13.4175,7.15,20.567500000000003,18,-12.835,6.4
59 RSR Cal for yield,0.675,0.794166666625,0.8290829383025383,0.4225,0.725,0.3025,16,0.43000000000000005,0.72
60 KGE Cal for yield,0.8200000000000001,0.8200000000000001,0.014142135623730885,0.8150000000000001,0.825,0.009999999999999898,2,0.81,0.83
61 NSE Cal for conc,0.42,0.31872,0.7040567874823734,0.25,0.77,0.52,25,0.29,0.75
62 R2 Cal for conc,0.605,0.599375,0.3305242048625183,0.41500000000000004,0.95,0.5349999999999999,16,0.43900000000000006,0.8963749999999988
63 pBIAS Cal for conc,0.73,3.879545454545455,12.467140229332287,-0.2875,1.6925,1.98,22,0.2,1.355
64 RSR Cal for conc,,,,,,,0,,
65 KGE Cal for conc,,,,,,,0,,
66 NSE Cal for load,,,,,,,0,,
67 R2 Cal for load,,,,,,,0,,
68 pBIAS Cal for load,,,,,,,0,,
69 RSR Cal for load,,,,,,,0,,
70 KGE Cal for load,,,,,,,0,,
71 NSE Cal for yield,,,,,,,0,,
72 R2 Cal for yield,,,,,,,0,,
73 pBIAS Cal for yield,,,,,,,0,,
74 RSR Cal for yield,,,,,,,0,,
75 KGE Cal for yield,,,,,,,0,,
76 NSE Cal for conc,0.52,0.13470588235294115,1.2277973263164421,0.22,0.66,0.44000000000000006,34,0.35,0.66
77 R2 Cal for conc,0.73,0.7061904761904761,0.23335544112953932,0.61,0.86,0.25,21,0.63,0.85
78 pBIAS Cal for conc,-2.9,-2.338181818181819,19.83158283750717,-9.4,4.75,14.15,33,-7.38,2.9
79 RSR Cal for conc,0.6399999999999999,1.0233333333333332,0.7966345879176139,0.5725,1.1125,0.54,6,0.53,1.9
80 KGE Cal for conc,,,,,,,0,,
81 NSE Cal for load,0.51,0.49142857142857144,0.3350396513015301,0.3975,0.7275,0.33,42,0.46,0.675
82 R2 Cal for load,0.505,0.5207142857142858,0.24678568557186334,0.385,0.6275,0.24249999999999994,28,0.44499999999999995,0.56
